"","year","Model","Model2","Model3","Model4","Price","Milage","Autom","rul","gas","color","Other","View","Date","ID","Fullname","volume","condition","privod","url"
"2","1981","Mercedes-Benz","S","500","500","5000","280000","Automatic","Left","Gas","Gray","","Sedan","24.05.2021","autoam 1","Mercedes-Benz S 500",NA,NA,NA,NA
"3","2000","Mercedes-Benz","230","</span>","C-Class","5000","150000","Manual","Left","Gasoline","Silver","Light Sensor","Sedan","05.08.2021","autoam 2","Mercedes-Benz 230 </span>",NA,NA,NA,NA
"4","2000","Mercedes-Benz","C","240","240 c-class","5000","95000","Automatic","Left","Gasoline","Blue","<span style=""background-color:#000000""></span>Black","Sedan","23.04.2021","autoam 3","Mercedes-Benz C 240",NA,NA,NA,NA
"5","1998","Mercedes-Benz","320","</span>","ML 320 SUV","5000","200000","Automatic","Left","Gas","Black","ABS","Truck","05.08.2021","autoam 4","Mercedes-Benz 320 </span>",NA,NA,NA,NA
"6","2000","Mercedes-Benz","E","320","320 AVANGARD","5000","240000","Automatic","Left","Gasoline","Silver","ABS","Sedan","13.05.2021","autoam 5","Mercedes-Benz E 320",NA,NA,NA,NA
"7","2000","Mercedes-Benz","C","200","200","5000","120000","Automatic","Left","Gasoline","Silver","ABS","Sedan","05.05.2021","autoam 6","Mercedes-Benz C 200",NA,NA,NA,NA
"8","2000","Mercedes-Benz","C","200","200 Kompressor","5000","165000","Manual","Left","Gasoline","Silver","ABS","Sedan","17.04.2021","autoam 7","Mercedes-Benz C 200",NA,NA,NA,NA
"9","1995","Mercedes-Benz","124","</span>","","5000","420000","Manual","Left","Gasoline","Green","","Sedan","21.06.2021","autoam 8","Mercedes-Benz 124 </span>",NA,NA,NA,NA
"10","1998","Mercedes-Benz","E","240","240 E 240","5000","282000","Automatic","Left","Gas","Silver","","Sedan","13.04.2021","autoam 9","Mercedes-Benz E 240",NA,NA,NA,NA
"11","1995","Mercedes-Benz","S","320","320","5000","130000","Automatic","Left","Gasoline","Black","ABS","Sedan","11.02.2021","autoam 10","Mercedes-Benz S 320",NA,NA,NA,NA
"12","1998","Mercedes-Benz","C","180","180","5000","240000","Manual","Left","Gas","Blue","","Sedan","14.03.2022","autoam 11","Mercedes-Benz C 180",NA,NA,NA,NA
"13","1997","Mercedes-Benz","E","320","320","5000","130000","Automatic","Left","Gas","Black","ABS","Sedan","13.03.2022","autoam 12","Mercedes-Benz E 320",NA,NA,NA,NA
"14","1996","Mercedes-Benz","C","230","230","4850","200000","Manual","Left","Gas","Silver","ABS","Sedan","21.04.2021","autoam 13","Mercedes-Benz C 230",NA,NA,NA,NA
"15","2000","Nissan","Pathfinder","</span>","3.3 SUV","5000","150","Manual","Left","Gasoline","Silver","<span style=""background-color:#000000""></span>Black","Truck","25.11.2020","autoam 14","Nissan Pathfinder </span>",NA,NA,NA,NA
