"autopro_image","autopro_url","autopro_Date","autopro_Details","autopro_Fullname","autopro_Fullname_url","autopro_year"
"https://autopro.am/photos/2019/05/27/1437715481259sm.jpeg","https://autopro.am/car.php?id=32081","27.05.2019","Գազ/Բենզին
134000 կմ
Մեխանիկական
Անթերի
Ձախ
-","VAZ (Lada) 2170 Priora","https://autopro.am/car.php?id=32081","2008թ."
"https://autopro.am/photos/2019/05/01/1435011220520sm.jpeg","https://autopro.am/car.php?id=31380","01.05.2019","Գազ/Բենզին 2.3 լ
130000 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Nissan Teana","https://autopro.am/car.php?id=31380","2003թ."
"https://autopro.am/photos/2019/04/21/1280610572706sm.jpeg","https://autopro.am/car.php?id=31193","21.04.2019","Գազ 1.7 լ
105000 կմ
Մեխանիկական
Անթերի
Ձախ
Ետևի քարշակ","VAZ (Lada) 2107 1.7 инжектор","https://autopro.am/car.php?id=31193","2011թ."
"https://autopro.am/photos/2019/04/18/1430111317214sm.jpeg","https://autopro.am/car.php?id=31169","18.04.2019","Գազ/Բենզին 1.6 լ
122000 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","VAZ (Lada) 2115","https://autopro.am/car.php?id=31169","2007թ."
"https://autopro.am/photos/2019/02/23/1408511249362sm.jpeg","https://autopro.am/car.php?id=30840","23.02.2019","Բենզին 1.5 լ
100500 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Nissan Tiida","https://autopro.am/car.php?id=30840","2006թ."
"https://autopro.am/photos/2019/02/02/191313004087sm.jpeg","https://autopro.am/car.php?id=30760","02.02.2019","Գազ/Բենզին 1.6 լ
140000 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","Opel Astra G","https://autopro.am/car.php?id=30760","2002թ."
"https://autopro.am/photos/2019/01/24/1397413805675sm.jpeg","https://autopro.am/car.php?id=30734","24.01.2019","Դիզել 1.5 լ
147000 կմ
Ավտոմատ
Անթերի
Ձախ
Առջևի քարշակ","Hyundai Accent Verna","https://autopro.am/car.php?id=30734","2005թ."
"https://autopro.am/photos/2018/12/12/1384913429906sm.jpeg","https://autopro.am/car.php?id=30528","12.12.2018","Բենզին 1.6 լ
110000 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","VAZ (Lada) 2170 Priora","https://autopro.am/car.php?id=30528","2008թ."
"https://autopro.am/photos/2018/11/07/1374515159470sm.jpeg","https://autopro.am/car.php?id=30412","07.11.2018","Բենզին 2.5 լ
102000 կմ
Ավտոմատ
Անթերի
Աջ
Ետևի քարշակ","Nissan Skyline","https://autopro.am/car.php?id=30412","2005թ."
"https://autopro.am/photos/2018/08/16/1353619291511sm.jpeg","https://autopro.am/car.php?id=30183","16.08.2018","Գազ 1.5 լ
115000 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Nissan Tiida","https://autopro.am/car.php?id=30183","2004թ."
"https://autopro.am/photos/2018/07/27/1348011453861sm.jpeg","https://autopro.am/car.php?id=29993","27.07.2018","Բենզին 2.3 լ
135000 կմ
Ավտոմատ
Անթերի
Աջ դարձրած Ձախ
Առջևի քարշակ","Nissan Teana 2.3JK","https://autopro.am/car.php?id=29993","2003թ."
"https://autopro.am/photos/2018/04/24/1328610528302sm.jpeg","https://autopro.am/car.php?id=29763","24.04.2018","Գազ 3.5 լ
126000 կմ
Ավտոմատ
Անթերի
Աջ
Լիաքարշակ","Nissan Elgrand AYo","https://autopro.am/car.php?id=29763","2003թ."
"https://autopro.am/photos/2018/04/15/1327312176768sm.jpeg","https://autopro.am/car.php?id=29746","15.04.2018","Գազ/Բենզին
110000 կմ
Մեխանիկական
Անթերի
Ձախ
-","VAZ (Lada) 2170 Priora","https://autopro.am/car.php?id=29746","2012թ."
"https://autopro.am/photos/2018/03/12/1316515255638sm.jpeg","https://autopro.am/car.php?id=29619","12.03.2018","Գազ/Բենզին 2.0 լ
000000 կմ
Ավտոմատ
Անթերի
Ձախ
Լիաքարշակ","Mitsubishi Pajero","https://autopro.am/car.php?id=29619","2001թ."
"https://autopro.am/photos/2018/03/08/1269719996268sm.jpeg","https://autopro.am/car.php?id=29607","08.03.2018","Բենզին
130000 կմ
Ավտոմատ
Անթերի
Աջ
-","Nissan Blue Bird","https://autopro.am/car.php?id=29607","2006թ."
"https://autopro.am/photos/2018/02/26/1312513617688sm.jpeg","https://autopro.am/car.php?id=29569","26.02.2018","Բենզին
127000 կմ
Ավտոմատ
Անթերի
Ձախ
-","Mercedes-Benz 230","https://autopro.am/car.php?id=29569","2005թ."
"https://autopro.am/photos/2018/01/18/1298415411511sm.jpeg","https://autopro.am/car.php?id=29418","18.01.2018","Բենզին 2.0 լ
105000 կմ
Ավտոմատ
Անթերի
Աջ
-","Nissan Blue Bird","https://autopro.am/car.php?id=29418","2009թ."
"https://autopro.am/photos/2018/01/18/1298415392797sm.jpeg","https://autopro.am/car.php?id=29416","18.01.2018","Բենզին 2.2 լ
130000 կմ
Ավտոմատ
Անթերի
Աջ
-","BMW 320 M SPORT","https://autopro.am/car.php?id=29416","2002թ."
"https://autopro.am/photos/2018/01/18/1298417160731sm.jpeg","https://autopro.am/car.php?id=29413","18.01.2018","Բենզին 3.5 լ
127329 կմ
Ավտոմատ
Անթերի
Աջ
-","Nissan Fuga","https://autopro.am/car.php?id=29413","2005թ."
"https://autopro.am/photos/2017/10/25/1273216833890sm.jpeg","https://autopro.am/car.php?id=29110","25.10.2017","Բենզին 2.5 լ
122000 կմ
Ավտոմատ
Անթերի
Աջ
Ետևի քարշակ","Nissan Skyline","https://autopro.am/car.php?id=29110","2004թ."
"https://autopro.am/photos/2017/10/01/1266814532997sm.jpeg","https://autopro.am/car.php?id=29017","01.10.2017","Բենզին 2.0 լ
124000 կմ
Ավտոմատ
Անթերի
Ձախ
Առջևի քարշակ","Volkswagen Golf","https://autopro.am/car.php?id=29017","2002թ."
"https://autopro.am/photos/2017/09/15/1264019933411sm.jpeg","https://autopro.am/car.php?id=28959","15.09.2017","Բենզին 2.3 լ
130000 կմ
Ավտոմատ
Անթերի
Ձախ
-","Nissan Teana","https://autopro.am/car.php?id=28959","2004թ."
"https://autopro.am/photos/2017/09/01/1253513202565sm.jpeg","https://autopro.am/car.php?id=28922","01.09.2017","Գազ/Բենզին 2.3 լ
115000 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Nissan Teana","https://autopro.am/car.php?id=28922","2003թ."
"https://autopro.am/photos/2017/02/25/1211315181687sm.jpeg","https://autopro.am/car.php?id=28241","25.02.2017","Գազ/Բենզին 1.3 լ
108000 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Mazda Demio","https://autopro.am/car.php?id=28241","2003թ."
"https://autopro.am/photos/2017/02/19/1209618577784sm.jpeg","https://autopro.am/car.php?id=28209","19.02.2017","Բենզին 1.5 լ
136000 կմ
Ավտոմատ
Անթերի
Աջ
Լիաքարշակ","Nissan Tiida Latio","https://autopro.am/car.php?id=28209","2007թ."
"https://autopro.am/photos/2016/10/21/528612315151sm.jpeg","https://autopro.am/car.php?id=27672","21.10.2016","Գազ/Բենզին 1.6 լ
1 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","KIA Cerato EX","https://autopro.am/car.php?id=27672","2006թ."
"https://autopro.am/photos/2016/10/14/1170012676857sm.jpeg","https://autopro.am/car.php?id=27647","14.10.2016","Գազ/Բենզին 1.3 լ
150000 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Mitsubishi Colt 1","https://autopro.am/car.php?id=27647","2002թ."
